doctor,doctor_type,name,text
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Amanda M., verified patient","Dr. Gandelman was great. Very thorough and made the appointment quick and easy. 
"
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Stewart P., verified patient",he was very professional and let me know what was going on with my heart. His staff were very professional and courteous as well.
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Daniel K., verified patient",Very professional office with great staff. No wait time. 
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Christopher G., verified patient","It's a busy place, but the staff were all very attentive, friendly, and professional."
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist",Initials hidden,Great staff 
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist",Initials hidden,Excellent service and pertinent test done same day. Awesome.
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Phiona D., verified patient","He was very profesional, and he listens ti the patient would recommend him to my friends"
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Phiona D., verified patient",He was very pleasant and understandable.....//would recommend him to any one
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Josef S., verified patient","Excellent doctor. As a young and other healthy guy, it was great having someone calm and caring actually listen to my concerns and issues and help me. He addressed all the concerns and ensured that everything was tested appropriately. It was a pleasure dealing with him. Highly recommended. "
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Kelli G., verified patient",
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Andrew H., verified patient",Had to repeat the same information over and over again.  Got conflicting advice from three different people.  Appointment was at 10.00 a.m. for vaccinations and I didn't leave until 11.40 a.m. - ridiculous.  I would never recommend this service.
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","John M., verified patient",Always feel good when I leave
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Daniel R., verified patient",
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist",Initials hidden,"Dr G was very concerned, caring and made good suggestions.   I will definitely become a regular patient."
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Margarita A., verified patient",Great Atmosphere Staff Very Professional  And Friendly 
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Donald K., verified patient","The examination was very thorough and well executed. 
I couldn't ask for a better examination
with Thanks 
Don Kramer"
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Louis P., verified patient",Very professional and nice. 
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Joe F., verified patient","Excellent, compassionate doctor. Listens carefully and responds clearly. Genuinely concerned about your health. An all-around nice guy and a true professional."
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","George H., verified patient",Worked out very well.
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Dorothy D., verified patient",He cared about my condition and is trying to help.
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Vibhav P., verified patient",Dr. Gandelman is great!  Love his honesty and directness.
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","James G., verified patient",He was very courteous and thorough.  He is Board Certified and I couldn't have been happier with my visit.
"Dr. Glenn Gandelman, MD, FACC, MPH","Cardiologist, Internist","Marie A., verified patient","Dr. Gandelman is very comprehensive in his exam.
He takes the time to explain everything and you never feel rushed."
