doctor,doctor_type,name,text
"Richard Horowitz, LCSW",Psychotherapist,"Tom K., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,My problems didn't fall into his areas of specialization (see his website) so it wasn't a good fit. 
"Richard Horowitz, LCSW",Psychotherapist,"Alex P., verified patient","I've seen Richard a few times now, and Richard is attentive, friendly, and eager to talk through problems. Wait times are generally nil, so it's easy to fit this into your day. Recommended. "
"Richard Horowitz, LCSW",Psychotherapist,"Nokomis L., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,"James H., verified patient","Dr. Richards is an approachable, passionate, and intelligent therapist. As a first time patient, his thoughtful attentiveness and guidance have provided me a sound framework for self-improvement. Highly recommended. "
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,"First session review - he asked a lot of questions, which I appreciated; I don't like feeling like I have to just spew a stream of consciousness during therapy. Very nice man, conversation felt natural."
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,"Although a kind and caring person, he was clearly not a good therapist. He has an intense personality that is not therapeutic. Throughout our first meeting, he tried to find issues where there are none and was rather condescending. "
"Richard Horowitz, LCSW",Psychotherapist,"Heather A., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,"Ian M., verified patient","Richard is tremendous at what he does, his demeanor is both friendly and conducive to progress. Highly recommended!"
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,"I thought that the session was very insightful. I will be returning to continue my therapy, as I feel comfortable talking to him."
"Richard Horowitz, LCSW",Psychotherapist,"James B., verified patient","As a first appointment, it couldn’t have gone any better. I felt very calm and secure enabling myself to talk freely and openly. 
Very much looking forward to the next session. 
"
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,"While the assignment from the first visit was quite helpful, follow-up appointments involved vague questions and generic advice.

Also, he pushed for a positive ZocDoc review after my first visit, which I found extremely distasteful. "
"Richard Horowitz, LCSW",Psychotherapist,"Lauren G., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,"Jeffrey E., verified patient",This was first visit with a therapist. Richard is a very kind man who is extremely easy to talk to. I am looking forward to more visits. 
"Richard Horowitz, LCSW",Psychotherapist,"Olivia L., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,"Marcus V., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,"Karin C., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,"Nataliya M., verified patient","I’m fortunate to have found someone so kind and well traveled, Richard’s demeanor is warm and inviting, so is the space he cultivates.  Looking forward to our following sessions! "
"Richard Horowitz, LCSW",Psychotherapist,"Dianne C., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,"Juancy R., verified patient",I needed to find an LGBT friendly therapist to help me through a very difficult time. I'm glad to say Richard was welcoming and comforting to speak with. I'm continuing to see him weekly since our first visit. 
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,My first session was great. Richard listened but also asked questions that allowed me to think and process things on a deeper level.
"Richard Horowitz, LCSW",Psychotherapist,"Alison Z., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,"Davon F., verified patient","He’s Professional, very insightful. He made me focus on my development and positive thinking. He is a true therapist giving his client the goals to succeed. Will recommend him to anyone "
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,"Richard is very down to earth, relatable and most off HELPFUL and a pleasure to meet with. My husband and I visit him for couples' counseling and he has been instrumental in helping us realize our issues and ways to move forward. I highly recommend him. "
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,This was my first therapy appointment ever and Richard made me feel extremely comfortable. I love that he engaged with me and didn't just sit back and let me do all of the talking. I am already excited for our next appointment. 
"Richard Horowitz, LCSW",Psychotherapist,"Anna W., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,"Joseph N., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,
"Richard Horowitz, LCSW",Psychotherapist,"Kevin G., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,
"Richard Horowitz, LCSW",Psychotherapist,"Thomas T., verified patient","I don't know if I've ever felt that comfortable with a therapist. Richard is great, and I highly recommend him."
"Richard Horowitz, LCSW",Psychotherapist,"Samuel G., verified patient","Incredible intake process and bedside manner. Spoke with me prior to my visit to clarify all logistics, leaving the session clear for actual treatment. Would highly recommend!"
"Richard Horowitz, LCSW",Psychotherapist,"Christopher A., verified patient",Great Session. Looking forward to next week.
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,
"Richard Horowitz, LCSW",Psychotherapist,"Kathryn R., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,"Maggie S., verified patient","Richard was very warm, professional and put me at ease within seconds of being seen.  He made me feel very comfortable and I left extremely pleased with my visit.  "
"Richard Horowitz, LCSW",Psychotherapist,"David C., verified patient","Really Great.  Richard is a fantastic listener but also very engaged.  He doesnt just ask ""How does that make you feel?"""
"Richard Horowitz, LCSW",Psychotherapist,"Casandra P., verified patient","I really like Richard as he truly listened to me, paid attention to the subtleties of my worries and delivered his comments gently. I look forward to continue working with him!  "
"Richard Horowitz, LCSW",Psychotherapist,"James H., verified patient",Richard sets the tine of his practice with intense listening. The comfort Richard has in allowing one to address core issues is very refreshing. No labeling. Excellent guidance.
"Richard Horowitz, LCSW",Psychotherapist,"Jennifer J., verified patient",He was extremely compassionate and understanding. Extremely flexible with his schedule and understanding .  It was a great experience and excited for future visits.  
"Richard Horowitz, LCSW",Psychotherapist,"Wilmarie H., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,"Adam S., verified patient",Richard was very comforting and an attentive listener. Was able to relate to my stories and problems and apply past experiences and cases to my needs. Highly recommended. 
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,"If you have problem to find happy in your life, I will recommend you to find someone else instead of Dr. Richard since he will only keep tell you to ""be happy"", ""Cheer up""..."
"Richard Horowitz, LCSW",Psychotherapist,"Bret C., verified patient",
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,
"Richard Horowitz, LCSW",Psychotherapist,Initials hidden,"I loved my first appointment with Richard! Kind, caring, and really listens. He also makes you feel welcome, and talks to you as well, really making it a personable exchange, allowing you to really feel at ease with talking about sensitive subjects. I will be going back to him. "
"Richard Horowitz, LCSW",Psychotherapist,"Paul R., verified patient",
"Ariel Friedman, LCSW",Psychotherapist,"Irene H., verified patient",Dr. Friedman was a kind professional who carefully listened and offered supportive reassurance and guidance to my personal situation. I would highly recommend him as a professional therapist.
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,"Great listener, both supportive and insightful. Calm, relaxing presence which makes it easy to unwind and unload. Offers good advice for professional and personal relationships. We've had a few email exchanges about scheduling conflicts, handled promptly and professionally. "
"Ariel Friedman, LCSW",Psychotherapist,"Jonathan J., verified patient",Ariel does a great job. Always professional and insightful. I would highly recommend seeking him out. 
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,"Ariel is very helpful and insightful; he listens intently and provides useful feedback that has helped me process my emotions, work through problems, and become a better person."
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,Absolutely terrible. Dr. Friedman spoke to me in a condescending way and made me feel incredibly uncomfortable. I've asked multiple occasions to book a follow up and he has ignored my emails. Would highly not recommend wasting your time with this doctor. 
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,Great listener. Made me feel very comfortable. Excited to work with him in the future.
"Ariel Friedman, LCSW",Psychotherapist,"Ross R., verified patient",He is great. Listens extremely well and cares. Easy to talk to.
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,
"Ariel Friedman, LCSW",Psychotherapist,"William S., verified patient",
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,
"Ariel Friedman, LCSW",Psychotherapist,"Miriam C., verified patient",
"Ariel Friedman, LCSW",Psychotherapist,"Theresa C., verified patient",
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,
"Ariel Friedman, LCSW",Psychotherapist,Initials hidden,
"Ariel Friedman, LCSW",Psychotherapist,"Mia H., verified patient",
"Lawrence Birnbach, PhD",Psychologist,Initials hidden,
"Lawrence Birnbach, PhD",Psychologist,"Chris C., verified patient",
"Lawrence Birnbach, PhD",Psychologist,"Thomas R., verified patient",
"Lawrence Birnbach, PhD",Psychologist,"Francisco B., verified patient",
"Lawrence Birnbach, PhD",Psychologist,"Lucianna S., verified patient",
"Lawrence Birnbach, PhD",Psychologist,"Kyla G., verified patient",
"Lawrence Birnbach, PhD",Psychologist,Initials hidden,
"Lawrence Birnbach, PhD",Psychologist,Initials hidden,
"Lawrence Birnbach, PhD",Psychologist,Initials hidden,
"Lawrence Birnbach, PhD",Psychologist,Initials hidden,
"Lawrence Birnbach, PhD",Psychologist,Initials hidden,
"Lawrence Birnbach, PhD",Psychologist,Initials hidden,
"Lawrence Birnbach, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,"Eric M., verified patient","Great listener.  Very supportive.
Very flexable and helpful in schefuling sessions."
"John Menaker, PhD",Psychologist,"Zoe S., verified patient",Dr. Menaker is awesome he listens and does a great job at helping you truly understand what your feeling. Awesome session 
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,"Dr. Menaker was uniquely insightful. I've had experience with other therapists who seemed to just let me ramble and go nowhere, but Dr. M demonstrated understanding and empathy that I found immediately helpful. I will definitely be back!"
"John Menaker, PhD",Psychologist,"Tanya W., verified patient",Wonderful 
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,"Best therapist I have seen in a long time, would highly reccomend "
"John Menaker, PhD",Psychologist,Initials hidden,Dr. Menaker is just wonderful. There's no other way to put it. I would highly recommend him as a therapist. 
"John Menaker, PhD",Psychologist,Initials hidden,Made me feel comfortable right off the bat. Insightful and smart. Will be going back for more sessions
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,"Sara A., verified patient",
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,"Michael F., verified patient",
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,"Melanie S., verified patient",
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,"Amada A., verified patient",
"John Menaker, PhD",Psychologist,"Megan K., verified patient",
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,
"John Menaker, PhD",Psychologist,Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,"Dr. Janapana is very professional, and seems very caring and willing to listen to everything you have to say so that you can work through your treatment."
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,"Very impressed. Dr Janapana was everything I'd heard she'd be....caring, inquisitive, warm, professional and respectful. I'm definitely looking forward to my sessions with her! "
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,"She is nice in the extreme, Professional through and through, but very warm and caring. I would recommend her very ardently."
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,"She is extremely kind, patient and compassionate.  I felt quite comfortable with her immediately."
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,I felt better as soon as I started talking to her!
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,She was extremely patient and understanding with us; nonjudgmental and very knowledgeable! 
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,She was terrific!
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist","Chyniece M., verified patient",
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Himani Janapana, MD","Addiction Specialist, Psychiatrist",Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden," Laid back, personable, and understanding. And most important of all, he genuinely cares. I've met a lot of doctors in this crappy, archaic, mental health system, and he's the best I've met.  "
"Dr. Aaron Savedoff, MD",Psychiatrist,"Alexandra M., verified patient",Aaron is so kind and makes you feel very sane (this is key) and heard. 
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,I found Dr. Savedoff to be incredibly thorough and knowledgeable. There was no wait time to see him and he was easy to talk to. HIghly recommend.
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,I would highly recommend Dr. Savedoff.  He was extremely attentive to my issues and concerns.  He offered sound advice without making assumptions.  I came out of my first session very comfortable and looking forward to working with Dr. Savedoff going forward.  
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,Excellent listener and proactive solution seeker. 
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,Very thoughtful and conscientious doctor.  I felt very comfortable discussing issues with him and plan to return regularly.  He seemed very knowledgeable and provided me with very helpful feedback.  Would definitely recommend!
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,"Caring and knowledgeable. Felt like progress was being made from the very first visit and in fact, more progress made with Dr. Savedoff in just a few visits than with doctors I have seen for longer amounts of time. Would recommend without reservation. "
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,"Great doctor. Unlike other doctors he actually cares for his patients. 
This is so novel to me when booking through ZD because almost all of the pschiatriats utilizing ZD book patients for every fifteen minutes, the legal minimum. Dr. Savedoff is Insightful inquisitive And consice without sacrificing amicability."
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,"Alexandra M., verified patient",
"Dr. Aaron Savedoff, MD",Psychiatrist,"Alexandra M., verified patient",
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,"Alexandra M., verified patient",
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,"Jennifer L., verified patient",
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
"Dr. Aaron Savedoff, MD",Psychiatrist,Initials hidden,
